"Name","Salary","Position","Matchup","Team","Opponent","Ownership %"
"David Montgomery","6,500","RB","CHI@DET","DET","CHI","2.3"
"Najee Harris","5,100","RB","PIT@CLE","PIT","CLE","2.3"
"Wan'Dale Robinson","3,500","WR","NYG@WAS","NYG","WAS","2.3"
"Cade Otton","3,400","TE","TB@SF","TB","SF","2.3"
"Darius Slayton","3,200","WR","NYG@WAS","NYG","WAS","2.3"
"Chris Godwin","6,600","WR","TB@SF","TB","SF","2.2"
"Will Levis","5,200","QB","TEN@JAX","TEN","JAX","2.1"
"Matthew Stafford","6,400","QB","SEA@LAR","LAR","SEA","2.0"
"Rico Dowdle","4,600","RB","DAL@CAR","DAL","CAR","2.0"
"Latavius Murray","4,800","RB","NYJ@BUF","BUF","NYJ","1.9"
"Elijah Mitchell","4,300","RB","TB@SF","SF","TB","1.9"
"Davante Adams","7,900","WR","LV@MIA","LV","MIA","1.8"
"Jauan Jennings","3,600","WR","TB@SF","SF","TB","1.8"
"Titans","2,900","DST","TEN@JAX","TEN","JAX","1.8"
"Stone Smartt","2,500","TE","LAC@GB","LAC","GB","1.8"
"Kalif Raymond","3,100","WR","CHI@DET","DET","CHI","1.7"
"Khalil Herbert","4,700","RB","CHI@DET","CHI","DET","1.6"
"Jameson Williams","3,300","WR","CHI@DET","DET","CHI","1.6"
"Derius Davis","3,000","WR","LAC@GB","LAC","GB","1.5"
"Tommy Tremble","2,500","TE","DAL@CAR","CAR","DAL","1.5"
"Amari Cooper","6,200","WR","PIT@CLE","CLE","PIT","1.4"
"Tyjae Spears","4,600","RB","TEN@JAX","TEN","JAX","1.4"
"Roschon Johnson","4,400","RB","CHI@DET","CHI","DET","1.4"
"Romeo Doubs","5,200","WR","LAC@GB","GB","LAC","1.3"
"Kyle Philips","3,000","WR","TEN@JAX","TEN","JAX","1.3"
"Royce Freeman","4,500","RB","SEA@LAR","LAR","SEA","1.2"
"Mike Boone","4,000","RB","ARI@HOU","HOU","ARI","1.2"
"DJ Chark Jr.","3,300","WR","DAL@CAR","CAR","DAL","1.2"
"Daniel Bellinger","3,000","TE","NYG@WAS","NYG","WAS","1.2"
"Baker Mayfield","5,300","QB","TB@SF","TB","SF","1.1"
"Bryce Young","5,100","QB","DAL@CAR","CAR","DAL","1.1"
"George Pickens","4,900","WR","PIT@CLE","PIT","CLE","1.1"
"Zach Wilson","4,800","QB","NYJ@BUF","NYJ","BUF","1.1"
"AJ Dillon","4,600","RB","LAC@GB","GB","LAC","1.1"
"Allen Lazard","3,500","WR","NYJ@BUF","NYJ","BUF","1.1"
"Greg Dortch","3,000","WR","ARI@HOU","ARI","HOU","1.1"
"Noah Fant","2,900","TE","SEA@LAR","SEA","LAR","1.1"
"Tommy DeVito","5,000","QB","NYG@WAS","NYG","WAS","1.0"
"Jakobi Meyers","6,100","WR","LV@MIA","LV","MIA","0.9"
"Gabe Davis","5,500","WR","NYJ@BUF","BUF","NYJ","0.9"
"Joshua Kelley","4,600","RB","LAC@GB","LAC","GB","0.9"
"Chris Rodriguez Jr.","4,000","RB","NYG@WAS","WAS","NYG","0.9"
"Jalen Tolbert","3,200","WR","DAL@CAR","DAL","CAR","0.9"
"Tre Tucker","3,000","WR","LV@MIA","LV","MIA","0.9"
"Xavier Gipson","3,000","WR","NYJ@BUF","NYJ","BUF","0.8"
"Cardinals","2,900","DST","ARI@HOU","ARI","HOU","0.8"
"D'Onta Foreman","5,600","RB","CHI@DET","CHI","DET","0.7"
"Zach Charbonnet","4,600","RB","SEA@LAR","SEA","LAR","0.7"
"Tyler Scott","3,000","WR","CHI@DET","CHI","DET","0.7"
"Tim Jones","3,000","WR","TEN@JAX","JAX","TEN","0.7"
"Jalin Hyatt","3,000","WR","NYG@WAS","NYG","WAS","0.7"
"Chase Edmonds","4,300","RB","TB@SF","TB","SF","0.6"
"Cedric Tillman","3,000","WR","PIT@CLE","CLE","PIT","0.6"
"Chris Moore","3,000","WR","TEN@JAX","TEN","JAX","0.6"
"Aidan O'Connell","4,900","QB","LV@MIA","LV","MIA","0.5"
"Kenny Pickett","4,800","QB","PIT@CLE","PIT","CLE","0.5"
"Michael Gallup","3,800","WR","DAL@CAR","DAL","CAR","0.5"
"Dontayvion Wicks","3,300","WR","LAC@GB","GB","LAC","0.5"
"Hunter Renfrow","3,000","WR","LV@MIA","LV","MIA","0.5"
"Isaiah Hodgins","3,000","WR","NYG@WAS","NYG","WAS","0.5"
"Kareem Hunt","4,900","RB","PIT@CLE","CLE","PIT","0.4"
"Nick Westbrook-Ikhine","3,100","WR","TEN@JAX","TEN","JAX","0.4"
"Julian Hill","2,500","TE","LV@MIA","MIA","LV","0.4"
"Miles Sanders","4,600","RB","DAL@CAR","CAR","DAL","0.3"
"Jake Bobo","3,200","WR","SEA@LAR","SEA","LAR","0.2"
